index,run,trial,onset,duration,cond,shockCond,shockTrial,target,associate,resp,acc,accSpec,respRT,ISIresp,ISIacc,ISIaccSpec,ISIrespRT
90,3,6,64.1333,9.2730,F,safe,0,BIBLE,foil,F,CR,CR,1.7673,NR,NR,NR,999.0000
91,3,7,73.4380,11.1847,TO_4,safe,0,PIE,heliport,TI,SM,SMO_Lo,3.5324,NR,NR,NR,999.0000
92,3,8,84.6550,9.4156,TI_2,safe,0,NAPKIN,music_studio,F,M,MI,1.3854,NR,NR,NR,999.0000
93,3,9,94.1032,10.7059,TO_4,safe,0,OPIUM,watering_hole,TO,H,HO_Hi,3.8980,NR,NR,NR,999.0000
94,3,10,104.8412,9.0572,TI_4,safe,0,SOOT,volleyball_court,TO,SM,SMI_Lo,2.3212,NR,NR,NR,999.0000
95,3,11,113.9304,9.1139,TO_2,safe,0,CLAM,bridge,F,M,MI,1.5101,NR,NR,NR,999.0000
96,3,12,123.0770,9.3874,TO_2,safe,0,TABLE,plaza,NR,NR,NR,999.0000,NR,NR,NR,999.0000
97,3,13,132.4966,9.1763,F,safe,0,CEREAL,foil,TI,FA,FAI_Lo,1.4059,NR,NR,NR,999.0000
98,3,14,141.7047,10.3682,TI_4,safe,0,APPLE,bookstore,TI,H,HI_Lo,2.5050,NR,NR,NR,999.0000
99,3,15,152.1056,11.3333,F,safe,0,CLARINET,foil,NR,NR,NR,999.0000,NR,NR,NR,999.0000
100,3,16,163.4711,9.1004,F,safe,0,NECKLACE,foil,TI,FA,FAI_Lo,2.8429,NR,NR,NR,999.0000
101,3,17,172.6035,11.6179,F,safe,0,TURTLE,foil,NR,NR,NR,999.0000,NR,NR,NR,999.0000
102,3,18,184.2546,12.3210,TI_2,safe,0,DETECTIVE,jacuzzi,TO,SM,SMI_Lo,2.7645,NR,NR,NR,999.0000
103,3,19,196.6074,10.6500,F,safe,0,GORILLA,foil,F,CR,CR,1.4185,NR,NR,NR,999.0000
104,3,20,207.2896,10.4670,F,safe,0,JACKET,foil,NR,NR,NR,999.0000,F,CR,CR,0.3811
105,3,21,217.7884,9.7521,TI_2,safe,0,POWDER,florist_shop,F,M,MI,1.1228,NR,NR,NR,999.0000
106,3,22,227.5728,12.3268,F,safe,0,PENCIL,foil,NR,NR,NR,999.0000,NR,NR,NR,999.0000
107,3,23,239.9324,9.1219,TI_4,safe,0,OTTER,garage,F,M,MI,1.1070,NR,NR,NR,999.0000
108,3,24,249.0864,10.1049,TI_2,safe,0,BOOT,ballroom,NR,NR,NR,999.0000,NR,NR,NR,999.0000
109,3,25,259.2228,9.8042,F,safe,0,DUST,foil,F,CR,CR,1.0132,NR,NR,NR,999.0000
110,3,26,269.0600,9.9281,TO_2,safe,0,OLIVE,motel,F,M,MI,1.3386,NR,NR,NR,999.0000
111,3,27,279.0206,9.6841,TI_2,safe,0,SADDLE,brewery,F,M,MI,1.4540,NR,NR,NR,999.0000
112,3,28,288.7369,9.5327,TI_2,safe,0,RACQUET,optician,NR,NR,NR,999.0000,NR,NR,NR,999.0000
113,3,29,298.3025,9.1445,TI_2,safe,0,STORK,throne_room,TO,SM,SMI_Lo,2.0589,NR,NR,NR,999.0000
