,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
3570,itemhit_lo,rh,68.0,epi,hippocampus-head,unsmoothed,ap122,26.4617843628,control
3598,sourcemiss_hi,lh,66.0,epi,hippocampus-head,unsmoothed,ap122,-667.529846191,control
3599,sourcemiss_hi,rh,68.0,epi,hippocampus-head,unsmoothed,ap122,-552.278198242,control
3627,M,lh,66.0,epi,hippocampus-head,unsmoothed,ap122,-118.614990234,control
3628,M,rh,68.0,epi,hippocampus-head,unsmoothed,ap122,-297.516693115,control
3656,CR,lh,76.0,epi,hippocampus-head,unsmoothed,ap150,-121.045310974,stress
3657,CR,rh,67.0,epi,hippocampus-head,unsmoothed,ap150,-278.528289795,stress
3685,FA,lh,76.0,epi,hippocampus-head,unsmoothed,ap150,-279.165985107,stress
3686,FA,rh,67.0,epi,hippocampus-head,unsmoothed,ap150,-348.433654785,stress
3714,sourcehit,lh,76.0,epi,hippocampus-head,unsmoothed,ap150,0.361628293991,stress
3715,sourcehit,rh,67.0,epi,hippocampus-head,unsmoothed,ap150,191.846115112,stress
3743,itemhit_lo,lh,76.0,epi,hippocampus-head,unsmoothed,ap150,-464.618011475,stress
3744,itemhit_lo,rh,67.0,epi,hippocampus-head,unsmoothed,ap150,-440.040405273,stress
3772,sourcemiss_hi,lh,76.0,epi,hippocampus-head,unsmoothed,ap150,30.4153213501,stress
3773,sourcemiss_hi,rh,67.0,epi,hippocampus-head,unsmoothed,ap150,-42.6044235229,stress
3801,M,lh,76.0,epi,hippocampus-head,unsmoothed,ap150,-671.660095215,stress
3802,M,rh,67.0,epi,hippocampus-head,unsmoothed,ap150,-894.505310059,stress
3830,CR,lh,54.0,epi,hippocampus-head,unsmoothed,ap152,362.705596924,stress
3831,CR,rh,59.0,epi,hippocampus-head,unsmoothed,ap152,422.527404785,stress
3859,FA,lh,54.0,epi,hippocampus-head,unsmoothed,ap152,-34.8586883545,stress
3860,FA,rh,59.0,epi,hippocampus-head,unsmoothed,ap152,19.8835906982,stress
3888,sourcehit,lh,54.0,epi,hippocampus-head,unsmoothed,ap152,539.805419922,stress
3889,sourcehit,rh,59.0,epi,hippocampus-head,unsmoothed,ap152,854.608642578,stress
3917,itemhit_lo,lh,54.0,epi,hippocampus-head,unsmoothed,ap152,93.6955718994,stress
3918,itemhit_lo,rh,59.0,epi,hippocampus-head,unsmoothed,ap152,303.504180908,stress
3946,sourcemiss_hi,lh,54.0,epi,hippocampus-head,unsmoothed,ap152,-231.925964355,stress
3947,sourcemiss_hi,rh,59.0,epi,hippocampus-head,unsmoothed,ap152,-43.8893699646,stress
3975,M,lh,54.0,epi,hippocampus-head,unsmoothed,ap152,76.9355392456,stress
3976,M,rh,59.0,epi,hippocampus-head,unsmoothed,ap152,362.572570801,stress
4004,CR,lh,56.0,epi,hippocampus-head,unsmoothed,ap153,-30.7289028168,stress
4005,CR,rh,59.0,epi,hippocampus-head,unsmoothed,ap153,-208.399261475,stress
4033,FA,lh,56.0,epi,hippocampus-head,unsmoothed,ap153,213.375320435,stress
4034,FA,rh,59.0,epi,hippocampus-head,unsmoothed,ap153,-602.577636719,stress
4062,sourcehit,lh,56.0,epi,hippocampus-head,unsmoothed,ap153,-103.402183533,stress
4063,sourcehit,rh,59.0,epi,hippocampus-head,unsmoothed,ap153,-164.417312622,stress
4091,itemhit_lo,lh,56.0,epi,hippocampus-head,unsmoothed,ap153,6.90944671631,stress
4092,itemhit_lo,rh,59.0,epi,hippocampus-head,unsmoothed,ap153,-223.032791138,stress
4120,sourcemiss_hi,lh,56.0,epi,hippocampus-head,unsmoothed,ap153,-103.317199707,stress
4121,sourcemiss_hi,rh,59.0,epi,hippocampus-head,unsmoothed,ap153,-186.169418335,stress
4149,M,lh,56.0,epi,hippocampus-head,unsmoothed,ap153,131.435470581,stress
4150,M,rh,59.0,epi,hippocampus-head,unsmoothed,ap153,-291.850158691,stress
4178,CR,lh,64.0,epi,hippocampus-head,unsmoothed,ap154,27.3529205322,stress
4179,CR,rh,74.0,epi,hippocampus-head,unsmoothed,ap154,-93.084602356,stress
4207,FA,lh,64.0,epi,hippocampus-head,unsmoothed,ap154,-210.600021362,stress
4208,FA,rh,74.0,epi,hippocampus-head,unsmoothed,ap154,-345.210113525,stress
4236,sourcehit,lh,64.0,epi,hippocampus-head,unsmoothed,ap154,58.347328186,stress
4237,sourcehit,rh,74.0,epi,hippocampus-head,unsmoothed,ap154,0.278023272753,stress
4265,itemhit_lo,lh,64.0,epi,hippocampus-head,unsmoothed,ap154,-179.354324341,stress
4266,itemhit_lo,rh,74.0,epi,hippocampus-head,unsmoothed,ap154,-302.71585083,stress
4294,sourcemiss_hi,lh,64.0,epi,hippocampus-head,unsmoothed,ap154,514.588989258,stress
4295,sourcemiss_hi,rh,74.0,epi,hippocampus-head,unsmoothed,ap154,495.951843262,stress
4323,M,lh,64.0,epi,hippocampus-head,unsmoothed,ap154,139.144119263,stress
4324,M,rh,74.0,epi,hippocampus-head,unsmoothed,ap154,11.2440414429,stress
