,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
2495,sourcehit,rh,27.0,epi,hippocampus-tail,unsmoothed,ap116,966.412231445,control
2523,itemhit_lo,lh,17.0,epi,hippocampus-tail,unsmoothed,ap116,-118.815986633,control
2524,itemhit_lo,rh,27.0,epi,hippocampus-tail,unsmoothed,ap116,775.596496582,control
2552,sourcemiss_hi,lh,17.0,epi,hippocampus-tail,unsmoothed,ap116,629.676269531,control
2553,sourcemiss_hi,rh,27.0,epi,hippocampus-tail,unsmoothed,ap116,520.169433594,control
2581,M,lh,17.0,epi,hippocampus-tail,unsmoothed,ap116,-69.2487182617,control
2582,M,rh,27.0,epi,hippocampus-tail,unsmoothed,ap116,-467.62008667,control
2610,CR,lh,25.0,epi,hippocampus-tail,unsmoothed,ap117,-48.8154411316,control
2611,CR,rh,27.0,epi,hippocampus-tail,unsmoothed,ap117,-102.841590881,control
2639,FA,lh,25.0,epi,hippocampus-tail,unsmoothed,ap117,-320.382446289,control
2640,FA,rh,27.0,epi,hippocampus-tail,unsmoothed,ap117,-631.041320801,control
2668,sourcehit,lh,25.0,epi,hippocampus-tail,unsmoothed,ap117,504.953704834,control
2669,sourcehit,rh,27.0,epi,hippocampus-tail,unsmoothed,ap117,261.22454834,control
2697,itemhit_lo,lh,25.0,epi,hippocampus-tail,unsmoothed,ap117,-175.174758911,control
2698,itemhit_lo,rh,27.0,epi,hippocampus-tail,unsmoothed,ap117,-93.3776016235,control
2726,sourcemiss_hi,lh,25.0,epi,hippocampus-tail,unsmoothed,ap117,-156.180160522,control
2727,sourcemiss_hi,rh,27.0,epi,hippocampus-tail,unsmoothed,ap117,-420.032928467,control
2755,M,lh,25.0,epi,hippocampus-tail,unsmoothed,ap117,-132.180130005,control
2756,M,rh,27.0,epi,hippocampus-tail,unsmoothed,ap117,-491.434753418,control
2784,CR,lh,27.0,epi,hippocampus-tail,unsmoothed,ap118,-492.488494873,control
2785,CR,rh,30.0,epi,hippocampus-tail,unsmoothed,ap118,-537.79876709,control
2813,FA,lh,27.0,epi,hippocampus-tail,unsmoothed,ap118,-369.276000977,control
2814,FA,rh,30.0,epi,hippocampus-tail,unsmoothed,ap118,-355.507873535,control
2842,sourcehit,lh,27.0,epi,hippocampus-tail,unsmoothed,ap118,635.039794922,control
2843,sourcehit,rh,30.0,epi,hippocampus-tail,unsmoothed,ap118,625.250671387,control
2871,itemhit_lo,lh,27.0,epi,hippocampus-tail,unsmoothed,ap118,-308.047515869,control
2872,itemhit_lo,rh,30.0,epi,hippocampus-tail,unsmoothed,ap118,-253.917831421,control
2900,sourcemiss_hi,lh,27.0,epi,hippocampus-tail,unsmoothed,ap118,54.323223114,control
2901,sourcemiss_hi,rh,30.0,epi,hippocampus-tail,unsmoothed,ap118,197.595932007,control
2929,M,lh,27.0,epi,hippocampus-tail,unsmoothed,ap118,-424.115203857,control
2930,M,rh,30.0,epi,hippocampus-tail,unsmoothed,ap118,-411.548065186,control
2958,CR,lh,25.0,epi,hippocampus-tail,unsmoothed,ap119,-285.388061523,control
2959,CR,rh,29.0,epi,hippocampus-tail,unsmoothed,ap119,-37.2785377502,control
2987,FA,lh,25.0,epi,hippocampus-tail,unsmoothed,ap119,242.357208252,control
2988,FA,rh,29.0,epi,hippocampus-tail,unsmoothed,ap119,344.011474609,control
3016,sourcehit,lh,25.0,epi,hippocampus-tail,unsmoothed,ap119,686.51348877,control
3017,sourcehit,rh,29.0,epi,hippocampus-tail,unsmoothed,ap119,782.861755371,control
3045,itemhit_lo,lh,25.0,epi,hippocampus-tail,unsmoothed,ap119,454.171691895,control
3046,itemhit_lo,rh,29.0,epi,hippocampus-tail,unsmoothed,ap119,609.377807617,control
3074,sourcemiss_hi,lh,25.0,epi,hippocampus-tail,unsmoothed,ap119,430.165313721,control
3075,sourcemiss_hi,rh,29.0,epi,hippocampus-tail,unsmoothed,ap119,692.229980469,control
3103,M,lh,25.0,epi,hippocampus-tail,unsmoothed,ap119,-607.523620605,control
3104,M,rh,29.0,epi,hippocampus-tail,unsmoothed,ap119,-247.594177246,control
3132,CR,lh,29.0,epi,hippocampus-tail,unsmoothed,ap120,-51.196685791,control
3133,CR,rh,42.0,epi,hippocampus-tail,unsmoothed,ap120,-36.2722244263,control
3161,FA,lh,29.0,epi,hippocampus-tail,unsmoothed,ap120,-1012.35864258,control
3162,FA,rh,42.0,epi,hippocampus-tail,unsmoothed,ap120,-1248.77929688,control
3190,sourcehit,lh,29.0,epi,hippocampus-tail,unsmoothed,ap120,371.879760742,control
3191,sourcehit,rh,42.0,epi,hippocampus-tail,unsmoothed,ap120,305.378753662,control
3219,itemhit_lo,lh,29.0,epi,hippocampus-tail,unsmoothed,ap120,-220.480636597,control
3220,itemhit_lo,rh,42.0,epi,hippocampus-tail,unsmoothed,ap120,-353.399108887,control
3248,sourcemiss_hi,lh,29.0,epi,hippocampus-tail,unsmoothed,ap120,-381.610046387,control
3249,sourcemiss_hi,rh,42.0,epi,hippocampus-tail,unsmoothed,ap120,-618.736450195,control
3277,M,lh,29.0,epi,hippocampus-tail,unsmoothed,ap120,-380.26272583,control
3278,M,rh,42.0,epi,hippocampus-tail,unsmoothed,ap120,-429.734832764,control
3306,CR,lh,33.0,epi,hippocampus-tail,unsmoothed,ap121,614.781860352,control
3307,CR,rh,30.0,epi,hippocampus-tail,unsmoothed,ap121,929.513916016,control
3335,FA,lh,33.0,epi,hippocampus-tail,unsmoothed,ap121,313.255828857,control
3336,FA,rh,30.0,epi,hippocampus-tail,unsmoothed,ap121,334.64855957,control
3364,sourcehit,lh,33.0,epi,hippocampus-tail,unsmoothed,ap121,-121.867996216,control
3365,sourcehit,rh,30.0,epi,hippocampus-tail,unsmoothed,ap121,71.062828064,control
3393,itemhit_lo,lh,33.0,epi,hippocampus-tail,unsmoothed,ap121,476.89263916,control
3394,itemhit_lo,rh,30.0,epi,hippocampus-tail,unsmoothed,ap121,701.829467773,control
3422,sourcemiss_hi,lh,33.0,epi,hippocampus-tail,unsmoothed,ap121,-100.555610657,control
3423,sourcemiss_hi,rh,30.0,epi,hippocampus-tail,unsmoothed,ap121,81.3686218262,control
3451,M,lh,33.0,epi,hippocampus-tail,unsmoothed,ap121,732.769042969,control
3452,M,rh,30.0,epi,hippocampus-tail,unsmoothed,ap121,750.035339355,control
3480,CR,lh,33.0,epi,hippocampus-tail,unsmoothed,ap122,-97.0265197754,control
3481,CR,rh,27.0,epi,hippocampus-tail,unsmoothed,ap122,-211.801239014,control
3509,FA,lh,33.0,epi,hippocampus-tail,unsmoothed,ap122,-266.410736084,control
3510,FA,rh,27.0,epi,hippocampus-tail,unsmoothed,ap122,-10.9636592865,control
3538,sourcehit,lh,33.0,epi,hippocampus-tail,unsmoothed,ap122,576.355102539,control
3539,sourcehit,rh,27.0,epi,hippocampus-tail,unsmoothed,ap122,609.863342285,control
3567,itemhit_lo,lh,33.0,epi,hippocampus-tail,unsmoothed,ap122,330.846160889,control
3568,itemhit_lo,rh,27.0,epi,hippocampus-tail,unsmoothed,ap122,277.966522217,control
3596,sourcemiss_hi,lh,33.0,epi,hippocampus-tail,unsmoothed,ap122,88.0545959473,control
3597,sourcemiss_hi,rh,27.0,epi,hippocampus-tail,unsmoothed,ap122,339.000610352,control
3625,M,lh,33.0,epi,hippocampus-tail,unsmoothed,ap122,244.788787842,control
3626,M,rh,27.0,epi,hippocampus-tail,unsmoothed,ap122,302.75012207,control
3654,CR,lh,27.0,epi,hippocampus-tail,unsmoothed,ap150,169.200424194,stress
3655,CR,rh,22.0,epi,hippocampus-tail,unsmoothed,ap150,418.126495361,stress
3683,FA,lh,27.0,epi,hippocampus-tail,unsmoothed,ap150,-132.214584351,stress
3684,FA,rh,22.0,epi,hippocampus-tail,unsmoothed,ap150,-226.727203369,stress
3712,sourcehit,lh,27.0,epi,hippocampus-tail,unsmoothed,ap150,450.344177246,stress
3713,sourcehit,rh,22.0,epi,hippocampus-tail,unsmoothed,ap150,590.740356445,stress
3741,itemhit_lo,lh,27.0,epi,hippocampus-tail,unsmoothed,ap150,6.09340429306,stress
3742,itemhit_lo,rh,22.0,epi,hippocampus-tail,unsmoothed,ap150,-213.823471069,stress
3770,sourcemiss_hi,lh,27.0,epi,hippocampus-tail,unsmoothed,ap150,-205.108901978,stress
3771,sourcemiss_hi,rh,22.0,epi,hippocampus-tail,unsmoothed,ap150,45.2698402405,stress
3799,M,lh,27.0,epi,hippocampus-tail,unsmoothed,ap150,22.1089992523,stress
3800,M,rh,22.0,epi,hippocampus-tail,unsmoothed,ap150,-185.631774902,stress
3828,CR,lh,31.0,epi,hippocampus-tail,unsmoothed,ap152,51.6190910339,stress
3829,CR,rh,24.0,epi,hippocampus-tail,unsmoothed,ap152,18.764093399,stress
3857,FA,lh,31.0,epi,hippocampus-tail,unsmoothed,ap152,-305.356292725,stress
3858,FA,rh,24.0,epi,hippocampus-tail,unsmoothed,ap152,-493.902252197,stress
3886,sourcehit,lh,31.0,epi,hippocampus-tail,unsmoothed,ap152,304.645629883,stress
3887,sourcehit,rh,24.0,epi,hippocampus-tail,unsmoothed,ap152,371.17880249,stress
3915,itemhit_lo,lh,31.0,epi,hippocampus-tail,unsmoothed,ap152,-7.13170289993,stress
3916,itemhit_lo,rh,24.0,epi,hippocampus-tail,unsmoothed,ap152,-329.205169678,stress
3944,sourcemiss_hi,lh,31.0,epi,hippocampus-tail,unsmoothed,ap152,-822.455566406,stress
3945,sourcemiss_hi,rh,24.0,epi,hippocampus-tail,unsmoothed,ap152,-648.842590332,stress
3973,M,lh,31.0,epi,hippocampus-tail,unsmoothed,ap152,11.94024086,stress
3974,M,rh,24.0,epi,hippocampus-tail,unsmoothed,ap152,-216.821243286,stress
4002,CR,lh,30.0,epi,hippocampus-tail,unsmoothed,ap153,321.796875,stress
4003,CR,rh,32.0,epi,hippocampus-tail,unsmoothed,ap153,109.557655334,stress
4031,FA,lh,30.0,epi,hippocampus-tail,unsmoothed,ap153,427.242034912,stress
4032,FA,rh,32.0,epi,hippocampus-tail,unsmoothed,ap153,223.796539307,stress
4060,sourcehit,lh,30.0,epi,hippocampus-tail,unsmoothed,ap153,309.295593262,stress
4061,sourcehit,rh,32.0,epi,hippocampus-tail,unsmoothed,ap153,241.419250488,stress
4089,itemhit_lo,lh,30.0,epi,hippocampus-tail,unsmoothed,ap153,536.261962891,stress
4090,itemhit_lo,rh,32.0,epi,hippocampus-tail,unsmoothed,ap153,435.223327637,stress
4118,sourcemiss_hi,lh,30.0,epi,hippocampus-tail,unsmoothed,ap153,385.855621338,stress
4119,sourcemiss_hi,rh,32.0,epi,hippocampus-tail,unsmoothed,ap153,273.796234131,stress
4147,M,lh,30.0,epi,hippocampus-tail,unsmoothed,ap153,231.345504761,stress
4148,M,rh,32.0,epi,hippocampus-tail,unsmoothed,ap153,-333.527496338,stress
4176,CR,lh,36.0,epi,hippocampus-tail,unsmoothed,ap154,-468.006958008,stress
4177,CR,rh,25.0,epi,hippocampus-tail,unsmoothed,ap154,-245.162322998,stress
4205,FA,lh,36.0,epi,hippocampus-tail,unsmoothed,ap154,-180.551467896,stress
4206,FA,rh,25.0,epi,hippocampus-tail,unsmoothed,ap154,-337.334686279,stress
4234,sourcehit,lh,36.0,epi,hippocampus-tail,unsmoothed,ap154,106.841217041,stress
4235,sourcehit,rh,25.0,epi,hippocampus-tail,unsmoothed,ap154,120.523963928,stress
4263,itemhit_lo,lh,36.0,epi,hippocampus-tail,unsmoothed,ap154,-285.054870605,stress
