,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
2820,FA,rh,131.0,epi,hippocampus,unsmoothed,ap118,-168.777282715,control
2821,FA,bilat,262.0,epi,hippocampus,unsmoothed,ap118,-209.303070068,control
2848,sourcehit,lh,131.0,epi,hippocampus,unsmoothed,ap118,576.702270508,control
2849,sourcehit,rh,131.0,epi,hippocampus,unsmoothed,ap118,542.096496582,control
2850,sourcehit,bilat,262.0,epi,hippocampus,unsmoothed,ap118,559.399414062,control
2877,itemhit_lo,lh,131.0,epi,hippocampus,unsmoothed,ap118,-413.954681396,control
2878,itemhit_lo,rh,131.0,epi,hippocampus,unsmoothed,ap118,-372.49432373,control
2879,itemhit_lo,bilat,262.0,epi,hippocampus,unsmoothed,ap118,-393.22454834,control
2906,sourcemiss_hi,lh,131.0,epi,hippocampus,unsmoothed,ap118,-39.5324478149,control
2907,sourcemiss_hi,rh,131.0,epi,hippocampus,unsmoothed,ap118,117.460670471,control
2908,sourcemiss_hi,bilat,262.0,epi,hippocampus,unsmoothed,ap118,38.9641113281,control
2935,M,lh,131.0,epi,hippocampus,unsmoothed,ap118,-307.056335449,control
2936,M,rh,131.0,epi,hippocampus,unsmoothed,ap118,-368.606933594,control
2937,M,bilat,262.0,epi,hippocampus,unsmoothed,ap118,-337.831634521,control
2964,CR,lh,114.0,epi,hippocampus,unsmoothed,ap119,-1063.69592285,control
2965,CR,rh,132.0,epi,hippocampus,unsmoothed,ap119,-1041.11218262,control
2966,CR,bilat,246.0,epi,hippocampus,unsmoothed,ap119,-1051.57788086,control
2993,FA,lh,114.0,epi,hippocampus,unsmoothed,ap119,-791.16192627,control
2994,FA,rh,132.0,epi,hippocampus,unsmoothed,ap119,-429.565155029,control
2995,FA,bilat,246.0,epi,hippocampus,unsmoothed,ap119,-597.134399414,control
3022,sourcehit,lh,114.0,epi,hippocampus,unsmoothed,ap119,-146.980865479,control
